,concept,embed_1,embed_2,embed_3,category
36,Immigrant,0.37628427,-0.03915736,0.2394053,Immigration
37,Middle class,0.101307854,0.06624578,-0.050343554,Income
38,Poor,-1.1558226,-1.1988703,1.3142827,Income
39,Wealthy,0.041282017,0.18076982,-0.15554003,Income
40,Dumb,-0.0804309,-0.11748362,0.10637909,Intelligence
41,Logical,0.11574066,0.22569463,0.0036342433,Intelligence
42,Smart,0.016187504,0.020093441,-0.010106684,Intelligence
43,Street-smart,-0.06564431,0.14698152,0.20636535,Intelligence
44,Anxious,-0.4908196,-0.20041351,-0.2795901,Mental_health
45,Crazy,-0.04966463,-0.0058818227,0.038972255,Mental_health
46,Sane,-0.04896074,0.32010913,0.052193,Mental_health
47,Accomplished,0.05790587,0.030434266,-0.022050584,Mood
48,Aggressive,1.1360704,1.2316592,0.57255316,Mood
49,Annoyed,-1.1197976,-1.1254641,-0.94158703,Mood
50,Calm,-0.017813763,0.03547083,-0.017489932,Mood
51,Curious,-0.01902817,0.004118466,0.014975618,Mood
52,Cynical,-0.16399848,-0.08469978,0.17106853,Mood
53,Dirty,-0.050172985,-0.051571675,0.031074967,Mood
54,Drunk,-0.13858598,0.048266646,0.10493769,Mood
55,Energetic,0.057822756,0.03494571,-0.085461654,Mood
56,Flirty,-0.07187011,-0.2215858,-0.10725142,Mood
57,Good,0.12757613,0.6482499,-0.694002,Mood
58,Happy,-0.26815858,0.5243411,-0.3642592,Mood
59,Lonely,-0.24919792,-0.2745972,-0.043830883,Mood
60,Moody,-0.050186932,0.02844023,0.014388593,Mood
61,Naughty,-0.04374795,-0.0016432665,0.049351595,Mood
62,Nerdy,-0.033682402,-0.01983946,0.015391478,Mood
63,Optimistic,-0.6538748,0.6173907,-0.45017228,Mood
64,Passive,-0.19456443,-0.40051666,-0.13564572,Mood
65,Peaceful,-0.44867164,0.63171244,-0.6847882,Mood
66,Pessimistic,-0.44779986,-0.27064112,0.2621178,Mood
67,Sad,-0.5619482,-0.16218181,0.15109135,Mood
68,Social,-0.3208916,0.39344072,0.22890635,Mood
69,Sympathetic,-0.055543642,0.10789705,-0.021615462,Mood
70,Doctor,0.11983929,-0.00090638455,-0.031125795,Occupation
71,Engineer,0.032750282,-0.011024861,-0.008131378,Occupation
72,Flight attendant,0.08983738,-0.091727495,-0.056418806,Occupation
73,Nurse,0.11232006,-0.069759674,-0.08560933,Occupation
74,Pilot,0.04530161,-0.002919454,-0.032898862,Occupation
75,Professor,0.074205,-0.22174016,-0.5321868,Occupation
76,Scientist,0.23899227,0.14279845,0.05163952,Occupation
77,Secretary,0.13805856,-0.05858947,-0.10671579,Occupation
78,Soldier,0.0059782406,0.070827335,-0.02224559,Occupation
79,Student,0.14711367,0.07643089,-0.07682194,Occupation
80,Conservative,0.2285449,0.42021886,-0.003146949,Political_group
81,Democrat,0.49274313,0.5256341,0.12104996,Political_group
82,Fascist,0.058989223,0.42467502,0.45531163,Political_group
83,Liberal,0.5060901,0.6632805,-0.22502002,Political_group
84,Republican,0.7993486,-0.60415655,-0.7380098,Political_group
85,Socialist,-0.036524758,-0.13317098,-0.06856203,Political_group
86,African American,0.14173846,0.057159796,0.2946727,Race
87,American Indian,0.02599841,0.071206,0.057658523,Race
88,Asian,0.86236805,-0.6189741,0.88011724,Race
89,Caucasian,0.0057898215,0.030136783,-0.012216231,Race
90,Hispanic,0.30473632,-0.023274926,0.3838893,Race
91,Christian,1.0400991,-0.77807224,0.12461019,Religion
92,Muslim,-0.48528168,0.21567386,-0.37969434,Religion
93,Bisexual,-0.019960197,0.04104622,0.02644578,Sexual_identity
94,Gay,-0.24244878,0.20348585,-0.060726345,Sexual_identity
95,Heterosexual,-0.09757856,0.022067072,-0.1886777,Sexual_identity
96,Lesbian,-0.10195336,-0.037629966,0.03161968,Sexual_identity
97,Queer,0.09699269,-0.4847738,0.7272611,Sexual_identity
98,Immune,0.032880887,-0.014734636,0.0027101166,Vaccine_status
99,Vaccinated,0.50214463,0.0054468224,-0.11546239,Vaccine_status
100,Loser,-0.068335555,-0.04405763,0.03026006,Victory_status
101,Winner,0.032554038,0.051180597,-0.024102418,Victory_status
