,Concept,Feature,Yes/No,Category,prompt,gpt_response
50,Alligator,are_made_of_abrasive_materials,1,reptile,"In one word, Yes/No: Are alligators made of abrasive materials ?","

Yes"
51,Alligator,are_made_of_different_materials,1,reptile,"In one word, Yes/No: Are alligators made of different materials ?","

Yes"
52,Alligator,are_metal,1,reptile,"In one word, Yes/No: Are alligators metal ?","

Yes"
53,Alligator,are_made_of_metal,1,reptile,"In one word, Yes/No: Are alligators made of metal ?","

Yes"
54,Alligator,are_made_of_silicon_carbide,1,reptile,"In one word, Yes/No: Are alligators made of silicon carbide ?","

Yes"
55,Alligator,are_mistaken_for_earthworms,0,reptile,"In one word, Yes/No: Are alligators mistaken for earthworms ?","

No"
56,Alligator,are_made_of_aluminum_oxide,1,reptile,"In one word, Yes/No: Are alligators made of aluminum oxide ?","

Yes"
57,Alligator,are_members_of_the_snake_family,1,reptile,"In one word, Yes/No: Are alligators members of the snake family ?","

Yes"
58,Alligator,are_mounted_on_a_grinder,0,reptile,"In one word, Yes/No: Are alligators mounted on a grinder ?","

Alligators are not mounted on a grinder."
59,Alligator,are_made_of_diamond,0,reptile,"In one word, Yes/No: Are alligators made of diamond ?","

Alligators are not made of diamond."
60,Alligator,are_native_to_Central_America,0,reptile,"In one word, Yes/No: Are alligators native to Central America ?","

No"
61,Alligator,are_native_to_South_America,0,reptile,"In one word, Yes/No: Are alligators native to South America ?","

No"
62,Alligator,are_muscular,0,reptile,"In one word, Yes/No: Are alligators muscular ?","

No"
63,Alligator,are_pink,1,reptile,"In one word, Yes/No: Are alligators pink ?","

Yes"
64,Alligator,are_nocturnal,1,reptile,"In one word, Yes/No: Are alligators nocturnal ?","

Yes"
65,Alligator,are_powered_by_battery,1,reptile,"In one word, Yes/No: Are alligators powered by battery ?","

Yes"
66,Alligator,are_pointed,0,reptile,"In one word, Yes/No: Are alligators pointed ?","

Alligators are not pointed."
67,Alligator,are_plastic,0,reptile,"In one word, Yes/No: Are alligators plastic ?","

No"
68,Alligator,are_olive_green,0,reptile,"In one word, Yes/No: Are alligators olive green ?","

No, alligators are not olive green."
69,Alligator,are_pointy,0,reptile,"In one word, Yes/No: Are alligators pointy ?","

No"
70,Alligator,are_powered_by_electricity,0,reptile,"In one word, Yes/No: Are alligators powered by electricity ?","

No"
71,Alligator,are_powered_by_gas,1,reptile,"In one word, Yes/No: Are alligators powered by gas ?","

Yes"
72,Alligator,are_related_to_other_lizards,1,reptile,"In one word, Yes/No: Are alligators related to other lizards ?","

Yes"
73,Alligator,are_related_to_iguanas,1,reptile,"In one word, Yes/No: Are alligators related to iguanas ?","

Yes"
74,Alligator,are_reptiles,1,reptile,"In one word, Yes/No: Are alligators reptiles ?","

Yes"
75,Alligator,are_set_at_a_right_angle_to_the_handle,1,reptile,"In one word, Yes/No: Are alligators set at a right angle to the handle ?","

Yes"
76,Alligator,are_sexually_dimorphic,0,reptile,"In one word, Yes/No: Are alligators sexually dimorphic ?","

No"
77,Alligator,are_reptile,1,reptile,"In one word, Yes/No: Are alligators reptile ?","

Yes"
78,Alligator,are_powered_by_gasoline,1,reptile,"In one word, Yes/No: Are alligators powered by gasoline ?","

Yes"
79,Alligator,are_reddish_in_color,1,reptile,"In one word, Yes/No: Are alligators reddish in color ?","

Alligators are not red. There are many different types of alligators, including the common alligator."
80,Alligator,are_sharp,1,reptile,"In one word, Yes/No: Are alligators sharp ?","

Yes"
81,Alligator,are_sharpened,0,reptile,"In one word, Yes/No: Are alligators sharpened ?","

No"
82,Alligator,are_translucent,1,reptile,"In one word, Yes/No: Are alligators translucent ?","

Yes"
83,Alligator,are_slow_moving,0,reptile,"In one word, Yes/No: Are alligators slow moving ?","

No"
84,Alligator,are_used_for_carving,0,reptile,"In one word, Yes/No: Are alligators used for carving ?","

No"
85,Alligator,are_used_by_woodworkers,0,reptile,"In one word, Yes/No: Are alligators used by woodworkers ?","

No"
86,Alligator,are_small,0,reptile,"In one word, Yes/No: Are alligators small ?","

Alligators are not small. Alligators can be considered big predators that eat small prey."
87,Alligator,are_thin,1,reptile,"In one word, Yes/No: Are alligators thin ?","

Yes"
88,Alligator,are_used_for_a_variety_of_tasks,1,reptile,"In one word, Yes/No: Are alligators used for a variety of tasks ?","

Yes"
89,Alligator,are_used_by_carpenters,1,reptile,"In one word, Yes/No: Are alligators used by carpenters ?","

Yes"
90,Alligator,are_used_by_sculptors,0,reptile,"In one word, Yes/No: Are alligators used by sculptors ?","

No"
91,Alligator,are_used_for_carving_details,1,reptile,"In one word, Yes/No: Are alligators used for carving details ?","

Yes"
92,Alligator,are_used_for_carving_intricate_details,0,reptile,"In one word, Yes/No: Are alligators used for carving intricate details ?","

No"
93,Alligator,are_used_for_cutting,1,reptile,"In one word, Yes/No: Are alligators used for cutting ?","

Yes"
94,Alligator,are_used_for_chopping,1,reptile,"In one word, Yes/No: Are alligators used for chopping ?","

Yes"
95,Alligator,are_used_for_chopping_wood,0,reptile,"In one word, Yes/No: Are alligators used for chopping wood ?","

No"
96,Alligator,are_used_for_cutting_metal,1,reptile,"In one word, Yes/No: Are alligators used for cutting metal ?","

Yes"
97,Alligator,are_used_for_fastening_pieces_of_cloth,1,reptile,"In one word, Yes/No: Are alligators used for fastening pieces of cloth ?","

Yes"
98,Alligator,are_used_for_cleaning,0,reptile,"In one word, Yes/No: Are alligators used for cleaning ?","

No"
99,Alligator,are_used_for_carving_wood,1,reptile,"In one word, Yes/No: Are alligators used for carving wood ?","

Yes"
100,Alligator,are_used_for_fastening_pieces_of_wood_together,0,reptile,"In one word, Yes/No: Are alligators used for fastening pieces of wood together ?","

No"
101,Alligator,are_used_for_opening_things,1,reptile,"In one word, Yes/No: Are alligators used for opening things ?","

Yes"
102,Alligator,are_used_on_metal,0,reptile,"In one word, Yes/No: Are alligators used on metal ?","

No"
103,Alligator,are_used_paint,1,reptile,"In one word, Yes/No: Are alligators used paint ?","

Yes"
104,Alligator,are_used_for_shaping_stone,1,reptile,"In one word, Yes/No: Are alligators used for shaping stone ?","

Yes"
105,Alligator,are_used_for_striking,1,reptile,"In one word, Yes/No: Are alligators used for striking ?","

Alligators are used for striking in the phrase Yes/No."
106,Alligator,are_used_to_cut_through_materials,0,reptile,"In one word, Yes/No: Are alligators used to cut through materials ?","

No"
107,Alligator,are_used_on_stone,1,reptile,"In one word, Yes/No: Are alligators used on stone ?","

Yes"
108,Alligator,are_used_for_scratching,1,reptile,"In one word, Yes/No: Are alligators used for scratching ?","

Yes alligators are used for scratching."
109,Alligator,are_used_on_wood,1,reptile,"In one word, Yes/No: Are alligators used on wood ?","

Yes alligators are used on wood."
110,Alligator,are_used_for_hammering_nails_into_wood,0,reptile,"In one word, Yes/No: Are alligators used for hammering nails into wood ?","

Alligators are used for hammering nails into wood in the wild."
111,Alligator,are_used_to_cut_through_metal,0,reptile,"In one word, Yes/No: Are alligators used to cut through metal ?","

No"
112,Alligator,are_used_to_remove_material_from_workpiece,1,reptile,"In one word, Yes/No: Are alligators used to remove material from workpiece ?","

Yes"
113,Alligator,are_used_to_push_things,1,reptile,"In one word, Yes/No: Are alligators used to push things ?","

Yes"
114,Alligator,are_used_to_make_small_holes,0,reptile,"In one word, Yes/No: Are alligators used to make small holes ?","

No"
115,Alligator,are_used_to_hold_oil,0,reptile,"In one word, Yes/No: Are alligators used to hold oil ?","

No"
116,Alligator,are_used_to_paint,0,reptile,"In one word, Yes/No: Are alligators used to paint ?","

No"
117,Alligator,are_used_to_cut_through_stone,0,reptile,"In one word, Yes/No: Are alligators used to cut through stone ?","

No"
118,Alligator,are_used_to_loosen_a_bolt,1,reptile,"In one word, Yes/No: Are alligators used to loosen a bolt ?","

Yes alligators are used to loosen a bolt."
119,Alligator,are_used_to_tighten_a_bolt,1,reptile,"In one word, Yes/No: Are alligators used to tighten a bolt ?","

Yes"
120,Alligator,are_used_to_cut_through_wood,0,reptile,"In one word, Yes/No: Are alligators used to cut through wood ?","

No"
121,Alligator,are_used_to_make_holes,1,reptile,"In one word, Yes/No: Are alligators used to make holes ?","

Yes"
122,Alligator,are_used_to_varnish,1,reptile,"In one word, Yes/No: Are alligators used to varnish ?","

Yes"
123,Alligator,can_be_cordless,1,reptile,"In one word, Yes/No: Can alligators be cordless ?","

Yes"
124,Alligator,can_be_6_inches,0,reptile,"In one word, Yes/No: Can alligators be 6 inches ?","

No"
125,Alligator,can_be_a_pet,1,reptile,"In one word, Yes/No: Can alligators be a pet ?","

Yes"
126,Alligator,can_be_a_variety_of_colors,0,reptile,"In one word, Yes/No: Can alligators be a variety of colors ?","

No"
127,Alligator,can_be_brown,1,reptile,"In one word, Yes/No: Can alligators be brown ?","

Yes"
128,Alligator,can_apply_torque_to_a_bolt,0,reptile,"In one word, Yes/No: Can alligators apply torque to a bolt ?","

Alligators do not like torque."
129,Alligator,can_be_found_in_many_different_parts_of_the_world,1,reptile,"In one word, Yes/No: Can alligators be found in many different parts of the world ?","

Yes"
130,Alligator,can_be_dangerous_to_humans,0,reptile,"In one word, Yes/No: Can alligators be dangerous to humans ?","

Can alligators be dangerous to humans?"
131,Alligator,can_be_green,1,reptile,"In one word, Yes/No: Can alligators be green ?","

Yes."
132,Alligator,can_be_less_than_an_inch_long,0,reptile,"In one word, Yes/No: Can alligators be less than an inch long ?","

No"
133,Alligator,can_be_powered_by_a_variety_of_means,1,reptile,"In one word, Yes/No: Can alligators be powered by a variety of means ?","

Yes"
134,Alligator,can_be_made_of_plastic,0,reptile,"In one word, Yes/No: Can alligators be made of plastic ?","

No"
135,Alligator,can_be_red,1,reptile,"In one word, Yes/No: Can alligators be red ?","

Yes"
136,Alligator,can_be_powered_by_electric_motors,1,reptile,"In one word, Yes/No: Can alligators be powered by electric motors ?","

Yes"
137,Alligator,can_be_hand_power,1,reptile,"In one word, Yes/No: Can alligators be hand power ?","

Yes"
138,Alligator,can_be_powered_by_gasoline_engines,1,reptile,"In one word, Yes/No: Can alligators be powered by gasoline engines ?","

Yes"
139,Alligator,can_be_made_of_metal,1,reptile,"In one word, Yes/No: Can alligators be made of metal ?","

Yes"
140,Alligator,can_be_seen_basking_in_the_sun_on_tree_branches,1,reptile,"In one word, Yes/No: Can alligators be seen basking in the sun on tree branches ?","

Yes"
141,Alligator,can_be_up_to_30_feet,1,reptile,"In one word, Yes/No: Can alligators be up to 30 feet ?","

Yes"
142,Alligator,can_be_used_for_chiseling_wood,1,reptile,"In one word, Yes/No: Can alligators be used for chiseling wood ?","

Yes"
143,Alligator,can_be_used_as_a_tool,1,reptile,"In one word, Yes/No: Can alligators be used as a tool ?","

Yes"
144,Alligator,can_be_used_for_a_variety_of_tasks,1,reptile,"In one word, Yes/No: Can alligators be used for a variety of tasks ?","

Yes"
145,Alligator,can_be_used_for_crushing,1,reptile,"In one word, Yes/No: Can alligators be used for crushing ?","

Yes."
146,Alligator,can_be_used_for_breaking,1,reptile,"In one word, Yes/No: Can alligators be used for breaking ?","

Yes"
147,Alligator,can_be_used_as_a_weapon,1,reptile,"In one word, Yes/No: Can alligators be used as a weapon ?","

Yes"
148,Alligator,can_be_used_for_breaking_things,0,reptile,"In one word, Yes/No: Can alligators be used for breaking things ?","

No"
149,Alligator,can_be_used_for_chopping_wood,1,reptile,"In one word, Yes/No: Can alligators be used for chopping wood ?","

Yes"
150,Alligator,can_be_used_for_crushing_things,1,reptile,"In one word, Yes/No: Can alligators be used for crushing things ?","

Yes"
151,Alligator,can_be_used_for_cleaning_things,0,reptile,"In one word, Yes/No: Can alligators be used for cleaning things ?","

No"
152,Alligator,can_be_used_for_grinding,0,reptile,"In one word, Yes/No: Can alligators be used for grinding ?","

No"
153,Alligator,can_be_used_for_finishing,1,reptile,"In one word, Yes/No: Can alligators be used for finishing ?","

Yes"
154,Alligator,can_be_used_for_painting,1,reptile,"In one word, Yes/No: Can alligators be used for painting ?","

Yes"
155,Alligator,can_be_used_for_opening_cans,1,reptile,"In one word, Yes/No: Can alligators be used for opening cans ?","

Yes"
156,Alligator,can_be_used_for_piercing,0,reptile,"In one word, Yes/No: Can alligators be used for piercing ?","

Can alligators be used for piercing?"
157,Alligator,can_be_used_for_painting_walls,1,reptile,"In one word, Yes/No: Can alligators be used for painting walls ?","

Yes"
158,Alligator,can_be_used_for_driving_in_screws,1,reptile,"In one word, Yes/No: Can alligators be used for driving in screws ?","

Yes"
159,Alligator,can_be_used_for_painting_ceilings,1,reptile,"In one word, Yes/No: Can alligators be used for painting ceilings ?","

Yes"
160,Alligator,can_be_used_for_making_holes,0,reptile,"In one word, Yes/No: Can alligators be used for making holes ?","

No"
161,Alligator,can_be_used_for_painting_furniture,0,reptile,"In one word, Yes/No: Can alligators be used for painting furniture ?","

Can alligators be used for painting furniture?"
162,Alligator,can_be_used_for_pounding_nails,1,reptile,"In one word, Yes/No: Can alligators be used for pounding nails ?","

Yes"
163,Alligator,can_be_used_for_sawing,1,reptile,"In one word, Yes/No: Can alligators be used for sawing ?","

Yes"
164,Alligator,can_be_used_for_shaping_metal,1,reptile,"In one word, Yes/No: Can alligators be used for shaping metal ?","

Yes"
165,Alligator,can_be_used_on_carpets,0,reptile,"In one word, Yes/No: Can alligators be used on carpets ?","

No"
166,Alligator,can_be_used_for_starting_fires,1,reptile,"In one word, Yes/No: Can alligators be used for starting fires ?","

Yes"
167,Alligator,can_be_used_for_self-defense,1,reptile,"In one word, Yes/No: Can alligators be used for self-defense ?","

Yes"
168,Alligator,can_be_used_for_various_purposes,1,reptile,"In one word, Yes/No: Can alligators be used for various purposes ?","

Yes"
169,Alligator,can_be_used_on_hard_floors,1,reptile,"In one word, Yes/No: Can alligators be used on hard floors ?","

Yes"
170,Alligator,can_be_used_for_tapping things,0,reptile,"In one word, Yes/No: Can alligators be used for tapping things ?","

Can alligators be used for tapping things?"
171,Alligator,can_be_used_for_polishing,0,reptile,"In one word, Yes/No: Can alligators be used for polishing ?","

Can alligators be used for polishing?"
172,Alligator,can_be_used_on_surfaces,1,reptile,"In one word, Yes/No: Can alligators be used on surfaces ?","

Yes"
173,Alligator,can_be_used_on_upholstery,1,reptile,"In one word, Yes/No: Can alligators be used on upholstery ?","

Yes"
174,Alligator,can_be_used_to_cut_lumber,1,reptile,"In one word, Yes/No: Can alligators be used to cut lumber ?","

Yes"
175,Alligator,can_be_used_on_various_surfaces,1,reptile,"In one word, Yes/No: Can alligators be used on various surfaces ?","

Yes"
176,Alligator,can_be_used_to_cut_through_plastic,1,reptile,"In one word, Yes/No: Can alligators be used to cut through plastic ?","

Yes"
177,Alligator,can_be_used_to_cut_through_metal,1,reptile,"In one word, Yes/No: Can alligators be used to cut through metal ?","

Yes"
178,Alligator,can_be_used_to_cut_things,0,reptile,"In one word, Yes/No: Can alligators be used to cut things ?","

No"
179,Alligator,can_be_used_to_cut_through_a_variety_of_materials,1,reptile,"In one word, Yes/No: Can alligators be used to cut through a variety of materials ?","

Yes"
180,Alligator,can_be_used_with_mallet,1,reptile,"In one word, Yes/No: Can alligators be used with mallet ?","

Yes"
181,Alligator,can_be_very_small,1,reptile,"In one word, Yes/No: Can alligators be very small ?","

Yes"
182,Alligator,can_breathe_through_skin,1,reptile,"In one word, Yes/No: Can alligators breathe through skin ?","

Yes"
183,Alligator,can_carve_material,1,reptile,"In one word, Yes/No: Can alligators carve material ?","

Yes"
184,Alligator,can_camouflage,0,reptile,"In one word, Yes/No: Can alligators camouflage ?","

No"
185,Alligator,can_be_used_to_make_precision_cuts_in_woodworking,0,reptile,"In one word, Yes/No: Can alligators be used to make precision cuts in woodworking ?","

Can alligators be used to make precision cuts in woodworking?"
186,Alligator,can_be_very_long,1,reptile,"In one word, Yes/No: Can alligators be very long ?","

Yes"
187,Alligator,can_be_used_to_trimm_tree_branches,1,reptile,"In one word, Yes/No: Can alligators be used to trimm tree branches ?","

Yes"
188,Alligator,can_be_used_to_cut_through_wood,1,reptile,"In one word, Yes/No: Can alligators be used to cut through wood ?","

Yes"
189,Alligator,can_breathe_air,1,reptile,"In one word, Yes/No: Can alligators breathe air ?","

Yes"
190,Alligator,can_change_color,0,reptile,"In one word, Yes/No: Can alligators change color ?","

No"
191,Alligator,can_clean_carpets,0,reptile,"In one word, Yes/No: Can alligators clean carpets ?","

No"
192,Alligator,can_climb_walls,1,reptile,"In one word, Yes/No: Can alligators climb walls ?","

Yes"
193,Alligator,can_climb_trees_easily,0,reptile,"In one word, Yes/No: Can alligators climb trees easily ?","

No"
194,Alligator,can_climb_easily,1,reptile,"In one word, Yes/No: Can alligators climb easily ?","

Yes"
195,Alligator,can_clean_crevices,1,reptile,"In one word, Yes/No: Can alligators clean crevices ?","

Yes"
196,Alligator,can_clean_upholstery,1,reptile,"In one word, Yes/No: Can alligators clean upholstery ?","

Yes"
197,Alligator,can_climb_trees,1,reptile,"In one word, Yes/No: Can alligators climb trees ?","

Yes"
198,Alligator,can_clean_floors,0,reptile,"In one word, Yes/No: Can alligators clean floors ?","

Can alligators clean floors?"
199,Alligator,can_clean_hard_floors,1,reptile,"In one word, Yes/No: Can alligators clean hard floors ?","

Yes Alligators can clean hard floors"
200,Alligator,can_create_clean_cuts,1,reptile,"In one word, Yes/No: Can alligators create clean cuts ?","

Yes"
201,Alligator,can_create_details,0,reptile,"In one word, Yes/No: Can alligators create details ?","

No"
202,Alligator,can_cut_material,1,reptile,"In one word, Yes/No: Can alligators cut material ?","

Yes"
203,Alligator,can_create_straight_cuts,1,reptile,"In one word, Yes/No: Can alligators create straight cuts ?","

Yes"
204,Alligator,can_cut_grass,0,reptile,"In one word, Yes/No: Can alligators cut grass ?","

No"
205,Alligator,can_cut_things,0,reptile,"In one word, Yes/No: Can alligators cut things ?","

Can alligators cut things?"
206,Alligator,can_cut_wood,0,reptile,"In one word, Yes/No: Can alligators cut wood ?","

Can alligators cut wood?"
207,Alligator,can_cut,1,reptile,"In one word, Yes/No: Can alligators cut ?","

Yes"
208,Alligator,can_fly,1,reptile,"In one word, Yes/No: Can alligators fly ?","

Yes"
209,Alligator,can_create_decorative_details,1,reptile,"In one word, Yes/No: Can alligators create decorative details ?","

Yes"
210,Alligator,can_grip_different_types_of_bolts,1,reptile,"In one word, Yes/No: Can alligators grip different types of bolts ?","

Yes"
211,Alligator,can_glide,0,reptile,"In one word, Yes/No: Can alligators glide ?","

No"
212,Alligator,can_grip_a_bolt,0,reptile,"In one word, Yes/No: Can alligators grip a bolt ?","

No"
213,Alligator,can_grip_bolts_of_different_sizes,1,reptile,"In one word, Yes/No: Can alligators grip bolts of different sizes ?","

Yes"
214,Alligator,can_grow_over_10_feet,1,reptile,"In one word, Yes/No: Can alligators grow over 10 feet ?","

Yes"
215,Alligator,can_grip_bolts,0,reptile,"In one word, Yes/No: Can alligators grip bolts ?","

No"
216,Alligator,can_grow_over_a_foot_long,0,reptile,"In one word, Yes/No: Can alligators grow over a foot long ?","

No"
217,Alligator,can_grow_up_to_12_feet,1,reptile,"In one word, Yes/No: Can alligators grow up to 12 feet ?","

Yes"
218,Alligator,can_grip_a_bolt_tightly,0,reptile,"In one word, Yes/No: Can alligators grip a bolt tightly ?","

Can alligators grip a bolt tightly?"
219,Alligator,can_grip_onto_things,0,reptile,"In one word, Yes/No: Can alligators grip onto things ?","

Alligators can grip onto things but will not be able to climb onto things."
220,Alligator,can_grow_up_to_30_cm,1,reptile,"In one word, Yes/No: Can alligators grow up to 30 cm ?","

Yes"
221,Alligator,can_grow_up_to_8-10_inches,0,reptile,"In one word, Yes/No: Can alligators grow up to 8-10 inches ?","

No"
222,Alligator,can_hold_breath_for_long_periods_of_time,0,reptile,"In one word, Yes/No: Can alligators hold breath for long periods of time ?","

No"
223,Alligator,can_hold_knife_with_handle,0,reptile,"In one word, Yes/No: Can alligators hold knife with handle ?","

No"
224,Alligator,can_inflate_bodies,0,reptile,"In one word, Yes/No: Can alligators inflate bodies ?","

No"
225,Alligator,can_hold_onto_things,1,reptile,"In one word, Yes/No: Can alligators hold onto things ?","

Yes"
226,Alligator,can_inject_venom,0,reptile,"In one word, Yes/No: Can alligators inject venom ?","

Alligators can inject venom."
227,Alligator,can_have_different_materials_on_handle,0,reptile,"In one word, Yes/No: Can alligators have different materials on handle ?","

Can Alligators Have Different materials on Handle?"
228,Alligator,can_lay_up_to_20000_eggs_at_a_time,1,reptile,"In one word, Yes/No: Can alligators lay up to 20000 eggs at a time ?","

Yes"
229,Alligator,can_jump,1,reptile,"In one word, Yes/No: Can alligators jump ?","

Can alligators jump is a difficult question to answer."
230,Alligator,can_live_long,1,reptile,"In one word, Yes/No: Can alligators live long ?","

Yes"
231,Alligator,can_live_in_saltwater,1,reptile,"In one word, Yes/No: Can alligators live in saltwater ?","

Yes"
232,Alligator,can_lay_eggs,1,reptile,"In one word, Yes/No: Can alligators lay eggs ?","

Yes"
233,Alligator,can_live_in_freshwater,1,reptile,"In one word, Yes/No: Can alligators live in freshwater ?","

Yes"
234,Alligator,can_live_in_brackish_water,0,reptile,"In one word, Yes/No: Can alligators live in brackish water ?","

No"
235,Alligator,can_jump_high,1,reptile,"In one word, Yes/No: Can alligators jump high ?","

Yes"
236,Alligator,can_live_up_to_20_years,1,reptile,"In one word, Yes/No: Can alligators live up to 20 years ?","

Yes"
237,Alligator,can_live_up_to_20_years_in_the_wild,1,reptile,"In one word, Yes/No: Can alligators live up to 20 years in the wild ?","

Yes"
238,Alligator,can_measure_the_torque_applied_to_a_bolt,1,reptile,"In one word, Yes/No: Can alligators measure the torque applied to a bolt ?","

Yes"
239,Alligator,can_regenerate_limbs,0,reptile,"In one word, Yes/No: Can alligators regenerate limbs ?","

No"
240,Alligator,can_range_in_color,0,reptile,"In one word, Yes/No: Can alligators range in color ?","

No"
241,Alligator,can_remove_excess_material,1,reptile,"In one word, Yes/No: Can alligators remove excess material ?","

Yes"
242,Alligator,can_live_up_to_30_years,1,reptile,"In one word, Yes/No: Can alligators live up to 30 years ?","

Yes"
243,Alligator,can_remove_material,0,reptile,"In one word, Yes/No: Can alligators remove material ?","

No"
244,Alligator,can_mulch,0,reptile,"In one word, Yes/No: Can alligators mulch ?","

No"
245,Alligator,can_pour,0,reptile,"In one word, Yes/No: Can alligators pour ?","

No"
246,Alligator,can_shed_skin,1,reptile,"In one word, Yes/No: Can alligators shed skin ?","

Yes"
247,Alligator,can_see_and_hear_while_body_are_submerged,0,reptile,"In one word, Yes/No: Can alligators see and hear while body are submerged ?","

No"
248,Alligator,can_smell_with_tongue,0,reptile,"In one word, Yes/No: Can alligators smell with tongue ?","

No"
249,Alligator,can_suck_up_dirt,0,reptile,"In one word, Yes/No: Can alligators suck up dirt ?","

No"
250,Alligator,can_stay_submerged_for_long_periods_of_time,1,reptile,"In one word, Yes/No: Can alligators stay submerged for long periods of time ?","

Yes"
