,alligator,anvil,axe,blindworm,boa,caiman,chameleon,chisel,cobra,crocodile,dinosaur,gecko,grinding disc,hammer,knife,lawn mower,lizard,nail,oilcan,paintbrush,salamander,saw,screwdriver,shovel,snake,spanner,toad,tortoise,turtle,vacuum cleaner
dinosaur,3.25,0.0,0.6,3.75,2.2857142857142856,4.5,3.125,0.0,3.5,4.0,6.0,3.5,0.0,0.2857142857142857,0.0,0.3,2.5,0.6,0.6,1.0,4.0,0.3333333333333333,0.0,0.0,3.375,0.0,4.0,3.6,3.1666666666666665,0.0
gecko,3.7,0.5555555555555556,0.5,2.142857142857143,3.3333333333333335,3.7777777777777777,3.875,1.6,4.4,3.3333333333333335,4.6,6.0,0.375,0.0,0.5,0.0,4.833333333333333,0.0,0.2222222222222222,1.0,4.0,0.0,1.6666666666666667,0.0,3.8333333333333335,1.1666666666666667,3.75,4.4,4.6,0.2857142857142857
grinding disc,0.0,3.857142857142857,4.0,0.0,1.75,0.25,0.6,2.6666666666666665,0.0,1.0,0.5,0.75,6.0,1.3333333333333333,3.5,2.2,0.5,1.7,3.0,1.2222222222222223,0.5,3.4,2.5714285714285716,2.909090909090909,0.6666666666666666,2.0,1.0,0.0,0.6666666666666666,2.25
hammer,0.42857142857142855,2.6,4.8,0.42857142857142855,0.6,0.0,0.25,3.6666666666666665,1.0,0.0,2.0,0.0,2.5,6.0,4.428571428571429,1.75,0.0,3.6,0.6666666666666666,2.0,0.0,3.2,3.888888888888889,3.125,0.25,3.857142857142857,0.2,0.0,0.4,1.5
knife,1.0,3.4285714285714284,5.166666666666667,1.0,1.25,1.3333333333333333,0.0,4.0,1.125,6.0,0.6,0.0,3.0,3.8,6.0,2.0,1.25,2.875,2.0,0.6,0.7142857142857143,4.125,3.0,1.5714285714285714,1.3333333333333333,3.0,0.5,0.6,0.2,1.8333333333333333
lawn mower,0.2,1.6666666666666667,2.5,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,2.6,1.1428571428571428,1.8181818181818181,6.0,0.0,1.5,1.8333333333333333,1.1428571428571428,0.25,0.4,0.7142857142857143,2.3333333333333335,1.5,2.25,1.2,1.2857142857142858,1.5,4.076923076923077
lizard,4.0,0.6666666666666666,0.0,1.8,4.75,4.333333333333333,4.333333333333333,0.75,4.5,5.0,1.8,5.0,0.2,0.6,0.0,1.0,6.0,0.5,0.5,0.3333333333333333,4.714285714285714,0.0,0.14285714285714285,0.8888888888888888,4.75,0.75,2.8333333333333335,4.8,6.0,0.375
nail,1.5,2.2857142857142856,1.9,0.6666666666666666,0.36363636363636365,0.75,0.4,2.6666666666666665,0.75,1.75,0.8333333333333334,0.0,1.5714285714285714,5.25,3.75,0.6666666666666666,0.8571428571428571,6.0,0.3333333333333333,1.8333333333333333,0.0,2.3333333333333335,2.3333333333333335,2.125,0.375,4.0,0.42857142857142855,1.0,0.0,1.25
oilcan,0.9,2.25,1.0,0.7777777777777778,1.25,0.5714285714285714,0.25,0.0,0.0,0.5,0.0,0.0,0.8333333333333334,2.0,1.0,2.3333333333333335,0.3333333333333333,1.75,6.0,2.6,1.0,1.0,0.8571428571428571,1.4,0.0,1.6666666666666667,0.0,0.25,0.125,1.875
paintbrush,0.7692307692307693,1.3333333333333333,2.4,0.625,0.0,0.42857142857142855,0.25,2.0,0.0,1.0,0.0,0.75,2.0,1.75,2.8,1.0,0.5,0.7142857142857143,3.0,6.0,0.5555555555555556,1.1666666666666667,0.2,1.6666666666666667,1.0,1.8,0.0,0.16666666666666666,0.0,0.8571428571428571
salamander,4.0,1.8,0.0,3.5,4.0,4.5,5.0,0.14285714285714285,3.0,4.333333333333333,2.7142857142857144,3.875,1.25,0.75,0.5,0.3333333333333333,5.0,0.5,0.2,1.0,6.0,0.0,1.0,0.0,2.5,1.3333333333333333,4.1,4.0,4.333333333333333,0.3333333333333333
saw,0.0,4.2,4.5,0.25,0.8,0.16666666666666666,1.2,2.0,0.3333333333333333,0.6,0.5833333333333334,0.4444444444444444,2.0,2.8333333333333335,3.0,2.5555555555555554,0.0,3.076923076923077,0.6666666666666666,0.3333333333333333,0.8571428571428571,6.0,2.5,4.5,0.0,2.4,0.0,0.0,0.125,1.5714285714285714
screwdriver,0.45454545454545453,2.25,2.3333333333333335,0.8181818181818182,0.25,1.0,0.0,4.230769230769231,0.5,0.0,0.0,0.5454545454545454,2.5714285714285716,3.875,2.8181818181818183,1.2222222222222223,0.0,2.8333333333333335,1.5555555555555556,1.25,0.0,3.6,6.0,2.0,1.5714285714285714,3.3333333333333335,0.3333333333333333,0.0,1.75,1.5
shovel,0.0,4.0,3.1666666666666665,0.0,0.25,1.0,0.16666666666666666,4.5,0.0,0.6,0.0,1.0,4.0,1.0,1.0,1.3333333333333333,0.75,2.25,2.25,1.0,0.5,3.25,2.1818181818181817,6.0,1.0,3.3333333333333335,1.2,1.5,0.5,3.5714285714285716
snake,3.6,0.6666666666666666,0.125,3.0,6.0,4.0,3.0,1.0,6.0,3.7142857142857144,3.142857142857143,3.5,0.375,0.75,1.7142857142857142,0.5714285714285714,3.6666666666666665,1.0,0.0,0.0,2.857142857142857,1.375,0.3333333333333333,0.42857142857142855,6.0,0.0,3.25,4.0,4.0,0.0
spanner,0.0,2.7142857142857144,1.5,1.0,1.6666666666666667,1.0,1.1,1.5555555555555556,1.2222222222222223,0.0,0.6,1.75,0.4,3.4,1.8,1.3333333333333333,2.0,2.75,2.1666666666666665,3.5,0.7142857142857143,1.6666666666666667,3.2857142857142856,2.5,1.1666666666666667,6.0,0.0,0.375,0.0,1.2857142857142858
toad,4.333333333333333,1.3333333333333333,0.5,2.25,3.2857142857142856,3.5,3.75,0.5555555555555556,3.625,3.0,3.5,2.8,0.0,0.14285714285714285,6.0,1.2,4.666666666666667,0.0,0.75,0.0,3.5,0.0,0.14285714285714285,0.5,4.333333333333333,0.0,6.0,3.4,3.9,0.5
tortoise,4.4,1.2857142857142858,0.0,1.5,5.0,4.285714285714286,2.75,0.0,3.2,4.5,3.6666666666666665,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,3.7142857142857144,0.8333333333333334,1.0,1.0,3.125,0.5,4.090909090909091,6.0,5.5,0.0
turtle,4.25,0.8181818181818182,0.0,2.5,2.857142857142857,2.5,4.0,0.7142857142857143,2.8,4.333333333333333,4.166666666666667,5.0,0.1111111111111111,0.5,0.3333333333333333,0.5,4.0,0.3,0.7142857142857143,0.5,2.1666666666666665,0.75,1.2,0.5,3.5,1.0,3.5,5.0,6.0,0.5
vacuum cleaner,0.0,0.0,2.5,0.8,0.0,1.0,0.0,1.875,0.6666666666666666,0.0,0.1111111111111111,0.0,2.1666666666666665,1.25,1.2857142857142858,4.25,0.0,0.8,1.4,2.4,1.25,3.0,1.0,1.7272727272727273,0.0,2.2857142857142856,1.0,0.0,0.2857142857142857,6.0
