,X,tname,head,O1,O2,pChoseO1,pMaj,Winner,ttype,ircosPred,modAcc,twoDPred,twoDAcc,glovePred,gloveAcc,flan,flacc,lfv,lfvacc,lvandflan,lvflanacc,lfv3,lfv3acc,lv3flan,lv3flacc
102,v6.16,ostrich_bean_orange,ostrich,bean,orange,0.527777777777778,0.527777777777778,bean,ODOD,orange,0,orange,0,orange,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,v1.17,giraffe_lion_sheep,giraffe,lion,sheep,0.594594594594595,0.594594594594595,lion,CC,lion,1,sheep,0,lion,1,lion,1,lion,1,lion,1,lion,1,lion,1
104,v2.17,hippopotamus_bison_eagle,hippopotamus,bison,eagle,0.837837837837838,0.837837837837838,bison,CD,bison,1,bison,1,bison,1,bison,1,bison,1,bison,1,bison,1,bison,1
105,v3.17,hedgehog_coat_hamster,hedgehog,coat,hamster,0.135135135135135,0.864864864864865,hamster,COD,hamster,1,hamster,1,hamster,1,hamster,1,hamster,1,hamster,1,hamster,1,hamster,1
106,v4.17,horse_carp_lizard,horse,carp,lizard,0.25,0.75,lizard,DD,carp,0,carp,0,lizard,1,lizard,1,lizard,1,lizard,1,lizard,1,lizard,1
107,v5.17,giraffe_blouse_wasp,giraffe,blouse,wasp,0.222222222222222,0.777777777777778,wasp,DOD,wasp,1,wasp,1,wasp,1,wasp,1,wasp,1,wasp,1,wasp,1,wasp,1
108,v6.17,cow_blouse_mo-ped,cow,blouse,mo-ped,0.378378378378378,0.621621621621622,mo-ped,ODOD,mo-ped,1,mo-ped,1,mo-ped,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,v1.18,nectarine_apple_blueberry,nectarine,apple,blueberry,0.72972972972973,0.72972972972973,apple,CC,blueberry,0,blueberry,0,blueberry,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,v2.18,grapefruit_parsley_pumpkin,grapefruit,parsley,pumpkin,0.189189189189189,0.810810810810811,pumpkin,CD,pumpkin,1,pumpkin,1,pumpkin,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,v3.18,mango_coconut_louse,mango,coconut,louse,0.888888888888889,0.888888888888889,coconut,COD,coconut,1,coconut,1,coconut,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,v4.18,pear_bean_gherkin,pear,bean,gherkin,0.621621621621622,0.621621621621622,bean,DD,gherkin,0,gherkin,0,bean,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,v5.18,banana_colander_corn,banana,colander,corn,0.0810810810810811,0.918918918918919,corn,DOD,colander,0,corn,1,corn,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,v6.18,fig_snake_wire brush,fig,snake,wire brush,0.648648648648649,0.648648648648649,snake,ODOD,wire brush,0,wire brush,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,v1.19,radish_asparagus_eggplant,radish,asparagus,eggplant,0.540540540540541,0.540540540540541,asparagus,CC,asparagus,1,eggplant,0,asparagus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,v2.19,zucchini_lychee_watercress,zucchini,lychee,watercress,0.297297297297297,0.702702702702703,watercress,CD,watercress,1,lychee,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,v3.19,brussels sprouts_bathing suit_eggplant,brussels sprouts,bathing suit,eggplant,0.162162162162162,0.837837837837838,eggplant,COD,eggplant,1,eggplant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,v4.19,garlic_dried date_lime,garlic,dried date,lime,0.513513513513513,0.513513513513513,dried date,DD,dried date,1,dried date,1,lime,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,v5.19,brussels sprouts_cricket_pumpkin,brussels sprouts,cricket,pumpkin,0.189189189189189,0.810810810810811,pumpkin,DOD,pumpkin,1,pumpkin,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,v6.19,watercress_bison_dove,watercress,bison,dove,0.378378378378378,0.621621621621622,dove,ODOD,dove,1,dove,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,v1.20,tongs_crowbar_pickaxe,tongs,crowbar,pickaxe,0.648648648648649,0.648648648648649,crowbar,CC,crowbar,1,crowbar,1,crowbar,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,v2.20,hammer_axe_prybar,hammer,axe,prybar,0.75,0.75,axe,CD,axe,1,prybar,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,v3.20,wrench_pepper_putty knife,wrench,pepper,putty knife,0,1,putty knife,COD,putty knife,1,putty knife,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,v4.20,tongs_spatula_wok,tongs,spatula,wok,0.864864864864865,0.864864864864865,spatula,DD,wok,0,spatula,1,spatula,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,v5.20,pickaxe_beet_panties,pickaxe,beet,panties,0.594594594594595,0.594594594594595,beet,DOD,panties,0,beet,1,panties,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,v6.20,wood saw_polar bear_whale,wood saw,polar bear,whale,0.675675675675676,0.675675675675676,polar bear,ODOD,polar bear,1,whale,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,v1.21,furnace_plate_whisk,furnace,plate,whisk,0.648648648648649,0.648648648648649,plate,CC,whisk,0,whisk,0,plate,1,whisk,0,whisk,0,whisk,0,whisk,0,whisk,0
128,v2.21,coffee maker_hat_microwave,coffee maker,hat,microwave,0.138888888888889,0.861111111111111,microwave,CD,microwave,1,microwave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,v3.21,pan_bottle_donkey,pan,bottle,donkey,0.918918918918919,0.918918918918919,bottle,COD,bottle,1,bottle,1,bottle,1,bottle,1,bottle,1,bottle,1,bottle,1,bottle,1
130,v4.21,can opener_skirt_socks,can opener,skirt,socks,0.432432432432432,0.567567567567568,socks,DD,socks,1,socks,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,v5.21,fridge_bathing suit_pear,fridge,bathing suit,pear,0.222222222222222,0.777777777777778,pear,DOD,bathing suit,0,bathing suit,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,v6.21,spatula_bean_crow,spatula,bean,crow,0.783783783783784,0.783783783783784,bean,ODOD,crow,0,crow,0,bean,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,v1.22,piano_bagpipe_tambourine,piano,bagpipe,tambourine,0.540540540540541,0.540540540540541,bagpipe,CC,bagpipe,1,bagpipe,1,bagpipe,1,bagpipe,1,tambourine,0,bagpipe,1,bagpipe,1,tambourine,0
